company,month,market_condition,budget,marketing_spend,rnd_spend,pricing_strategy,product_quality,customer_base,action_taken,action_intensity,revenue,profit_margin,market_share,innovation_score
GammaRetail,23,stagnation,827792,188421,282529,1.2,4.99,47617,marketing_blitz,2,787371,0.18,0.2281,3.2
DeltaHealth,4,growth,509165,193774,163699,1.08,4.93,43974,marketing_blitz,4,1916312,0.3,0.5128,7.23
AlphaCorp,18,stagnation,79386,7551,17830,0.86,8.76,41696,marketing_blitz,1,1873328,0.23,0.3307,8.39
GammaRetail,5,recession,72312,159814,204191,1.07,9.73,14504,invest_rnd,9,918483,0.07,0.3197,3.29
GammaRetail,16,growth,527150,157591,191975,0.91,8.62,78960,price_cut,9,619062,0.18,0.7914,7.98
DeltaHealth,14,stagnation,944415,6085,32805,1.09,7.22,60825,expand_market,1,1813233,0.38,0.272,6.86
AlphaCorp,19,recession,304734,27361,90112,0.89,7.63,85871,marketing_blitz,10,1265649,0.1,0.3003,1.01
AlphaCorp,14,growth,310996,91958,103457,0.87,7.64,75318,invest_rnd,6,1927175,0.16,0.3088,9.17
GammaRetail,9,growth,583006,76209,65776,1.05,8.2,73267,invest_rnd,5,384584,0.14,0.2989,1.58
BetaTech,6,stagnation,115536,151571,299197,1.07,1.5,65941,price_cut,3,505759,0.22,0.1928,9.02
GammaRetail,17,stagnation,418910,163876,212728,0.87,1.67,53411,marketing_blitz,1,1869231,0.31,0.7195,4.94
GammaRetail,19,growth,806195,154113,178947,1.0,1.88,36986,price_cut,9,1913026,0.06,0.3408,9.77
GammaRetail,12,growth,311051,2386,207011,1.15,9.2,61783,launch_product,5,648058,0.16,0.2908,2.52
GammaRetail,4,recession,198527,130898,258563,1.07,6.6,53089,marketing_blitz,5,1859915,0.23,0.8274,1.34
DeltaHealth,16,recession,828933,71776,15832,1.07,5.1,62710,expand_market,4,646911,0.18,0.5266,6.25
AlphaCorp,11,growth,621366,76933,81218,1.09,7.93,89401,invest_rnd,4,1978661,0.33,0.5853,8.23
DeltaHealth,22,stagnation,327686,10472,8252,0.94,2.98,63188,invest_rnd,7,1153687,0.35,0.5987,7.47
DeltaHealth,4,stagnation,954007,166438,246825,0.88,8.25,63251,marketing_blitz,9,219997,0.08,0.6185,7.9
DeltaHealth,17,growth,171204,15606,90827,1.09,4.11,73822,launch_product,7,1193131,0.24,0.4194,4.44
GammaRetail,8,recession,965994,117670,294048,1.12,6.71,25742,expand_market,1,1055827,0.14,0.5983,5.4
BetaTech,14,growth,454986,50464,293599,1.16,9.89,43089,invest_rnd,10,661233,0.11,0.8358,7.48
AlphaCorp,2,stagnation,959025,71772,44774,1.12,1.65,43293,price_cut,10,749418,0.32,0.6203,9.62
BetaTech,11,growth,556525,4859,184883,0.94,9.62,24036,price_cut,5,303153,0.38,0.3502,5.18
DeltaHealth,11,growth,150299,130368,140006,0.99,7.91,51095,price_cut,1,958740,0.35,0.11,7.18
DeltaHealth,24,recession,971081,22681,288518,1.11,5.01,79152,invest_rnd,6,1272905,0.19,0.3922,7.79
BetaTech,22,stagnation,425355,150620,173625,1.02,1.92,96516,price_cut,2,313462,0.06,0.9831,7.77
BetaTech,24,stagnation,170897,192484,41868,1.02,2.01,12293,invest_rnd,8,317596,0.17,0.5888,2.76
BetaTech,6,growth,739837,166618,94653,1.18,6.24,54060,marketing_blitz,8,966609,0.09,0.9889,3.24
DeltaHealth,21,stagnation,588610,16524,47805,1.18,5.73,9527,price_cut,7,661173,0.2,0.2087,1.91
DeltaHealth,21,stagnation,744245,54421,284305,1.1,5.82,56646,price_cut,4,1065485,0.25,0.2117,9.83
AlphaCorp,14,stagnation,107813,193118,62564,1.12,3.5,71105,invest_rnd,1,1556749,0.06,0.3271,8.58
AlphaCorp,10,stagnation,625730,149204,179922,0.91,1.83,70466,invest_rnd,1,1155704,0.23,0.8938,6.36
DeltaHealth,8,recession,976032,40066,211429,1.04,8.19,97541,invest_rnd,4,1239234,0.07,0.0149,2.26
BetaTech,7,recession,722499,55930,132850,0.99,3.0,47759,expand_market,1,289440,0.06,0.6479,9.44
BetaTech,8,recession,802760,163386,199628,0.82,6.81,61703,marketing_blitz,2,1214694,0.14,0.6616,3.33
AlphaCorp,8,recession,421241,183031,297557,1.15,4.28,70404,price_cut,3,610413,0.31,0.0826,7.73
DeltaHealth,23,recession,649735,122141,240023,0.92,6.71,81099,invest_rnd,7,279787,0.12,0.9304,3.11
AlphaCorp,2,stagnation,57212,25562,247464,1.17,7.92,73616,invest_rnd,7,1590798,0.26,0.6966,9.68
AlphaCorp,16,growth,347011,25288,297196,1.05,2.75,3399,invest_rnd,6,1017719,0.25,0.4364,3.87
GammaRetail,9,growth,376806,11473,131554,1.13,1.12,71794,price_cut,10,592761,0.23,0.9753,1.09
GammaRetail,13,recession,673004,68745,151633,0.98,3.51,50767,invest_rnd,1,317150,0.38,0.5271,1.22
GammaRetail,23,stagnation,274796,127542,292713,0.87,9.65,53395,expand_market,1,531431,0.06,0.3285,6.8
BetaTech,12,recession,884104,118426,195973,1.15,2.65,24772,expand_market,2,1797039,0.2,0.5223,6.75
DeltaHealth,22,growth,655970,46182,20625,1.11,5.26,18569,invest_rnd,5,364433,0.23,0.7009,9.84
DeltaHealth,17,stagnation,634912,52892,93308,1.1,4.36,34998,marketing_blitz,2,1373760,0.27,0.9718,9.63
DeltaHealth,2,stagnation,562007,122433,291981,0.89,3.79,17086,expand_market,6,495517,0.29,0.4493,7.22
DeltaHealth,13,stagnation,446209,194629,196805,1.01,7.58,9737,price_cut,7,328812,0.13,0.3694,9.55
